CNN,SP
32835000,32836000
50780000,20189000
50780000,50780000
26664000,26667000
26664000,26663000
26664000,26661000
26664000,26679000
27012000,26995000
27012000,27017000
27012000,26994000
27012000,26998000
20973000,33330000
20973000,20972000
52078000,51164000
32974000,26121000
32974000,32985000
32974000,32973000
23234000,23226000
23234000,23242000
23234000,23234000
23234000,23241000
51659000,20769000
51659000,51660000
26688000,30062000
26688000,26692000
26688000,25564000
26688000,26691000
25790000,25719000
25790000,25791000
25790000,25787000
21399000,21406000
21399000,21408000
21399000,21400000
21399000,21396000
23096000,23104000
23096000,23096000
23096000,33484000
27756000,27762000
27756000,27753000
27756000,27755000
27756000,27766000
51730000,20489000
51730000,33163000
25921000,25903000
25921000,25922000
25921000,50320000
25921000,25911000
24086000,21342000
24086000,21306000
24086000,24089000
24086000,24085000
23129000,33504000
23129000,23130000
23129000,23132000
23129000,23128000
50922000,33309000
50922000,50922000
26347000,26348000
26347000,26349000
26347000,26376000
26347000,26345000
26233000,26247000
26233000,53064000
26233000,52230000
25335000,25351000
25335000,25352000
25335000,25350000
25335000,25333000
20416000,20393000
20416000,20409000
20416000,20410000
51872000,33323000
21743000,21741000
21743000,21748000
21743000,21753000
26773000,26783000
26773000,26970000
26773000,26787000
26773000,26774000
20842000,20597000
20842000,20843000
20842000,33334000
20842000,20603000
27367000,27345000
27367000,27369000
27367000,27364000
27367000,27368000
32962000,32963000
32962000,32964000
32962000,32961000
32962000,32980000
54059000,54057000
54059000,23981000
27199000,27198000
27199000,27202000
27199000,27203000
21745000,21747000
21745000,21745000
21745000,21746000
25364000,25424000
25364000,30710000
25364000,25423000
25364000,25365000
23342000,23352000
23342000,23340000
23342000,23363000
23342000,23341000
23342000,23350000
22186000,22184000
22186000,22188000
22186000,22191000
22186000,22189000
27625000,51488000
27625000,27623000
27625000,27622000
27625000,27626000
21694000,21778000
21694000,21694000
21694000,21765000
21694000,21693000
21694000,21702000
25461000,25410000
25461000,25473000
25461000,25460000
23955000,23956000
23955000,23951000
23955000,23958000
23955000,21137000
26216000,32830000
26216000,26213000
25532000,50112000
25532000,25532000
25532000,25572000
25532000,25528000
33245000,50866000
33245000,33245000
33245000,33244000
33245000,33246000
25323000,50144000
25323000,25323000
25323000,54045000
25323000,25322000
25323000,25320000
24381000,24373000
24381000,24400000
24381000,24401000
22629000,22588000
22629000,22630000
22629000,22628000
22629000,22591000
21731000,21728000
21731000,21733000
21731000,21474000
21731000,21730000
20833000,33278000
20833000,20831000
20833000,20835000
20833000,33237000
22546000,22548000
22546000,51123000
22546000,22543000
22546000,22544000
23555000,23564000
23555000,23551000
23555000,23558000
23555000,23553000
32999000,22921000
32999000,51295000
32999000,22918000
32999000,22922000
54047000,21351000
27068000,27070000
27068000,27181000
27068000,27079000
27068000,27067000
21578000,33493000
21578000,21561000
21578000,51099000
21578000,21568000
21137000,21141000
21137000,21124000
21137000,21135000
21137000,23955000
22174000,22178000
22174000,22098000
22174000,22172000
22174000,33523000
27494000,27492000
27494000,27500000
27494000,27495000
27494000,27479000
23697000,23696000
23697000,23718000
23697000,23694000
23697000,23710000
25659000,25656000
25659000,25664000
25659000,25663000
25659000,25662000
27920000,27918000
27920000,27999000
27920000,27919000
27920000,51491000
23768000,23767000
23768000,24015000
23768000,51580000
23768000,23765000
26085000,26089000
26085000,25769000
26085000,26084000
26085000,26098000
25311000,25505000
25311000,25539000
25311000,25538000
25311000,25542000
24250000,50019000
24250000,24250000
24250000,24274000
24250000,24251000
23515000,23509000
23515000,23517000
23515000,23516000
23515000,23487000
21719000,21716000
21719000,21721000
21719000,21724000
21719000,21718000
26511000,26512000
26511000,25964000
26511000,25188000
26511000,30072000
32868000,27747000
32868000,27743000
32868000,32867000
28006000,28007000
28006000,28010000
28006000,27990000
28006000,28008000
54035000,54034000
54035000,54035000
51513000,32887000
51513000,50557000
52239000,52262000
52239000,52133000
52239000,52238000
52239000,22193000
51341000,51342000
51341000,51178000
51341000,51341000
51341000,51498000
33294000,21144000
33294000,21067000
33294000,21148000
33294000,21143000
26029000,26031000
26029000,26026000
26029000,26028000
26029000,26035000
25754000,25772000
25754000,35059000
25754000,25750000
25754000,25755000
34076000,34075000
34076000,34074000
